ជា,0.9967
ដែល,0.9910
ឬ,0.9671
មាន,0.8854
ឲ្យ,0.5988
ការ,0.5240
ក្នុង,0.4652
អ្នក,0.3958
ពាក្យ,0.3818
បាន,0.3813
ដោយ,0.3773
ថា,0.3659
មួយ,0.3612
ប្រើ,0.3505
មិន,0.3188
ធ្វើ,0.3142
គ្នា,0.3069
ទៅ,0.2848
តែ,0.2815
នឹង,0.2728
ពី,0.2639
តែង,0.2639
សម្រាប់,0.2635
ក៏,0.2627
គឺ,0.2585
ឈ្មោះ,0.2216
របស់,0.2171
ដូច,0.2158
តាម,0.2144
គេ,0.2094
នៅ,0.2094
ហៅ,0.2052
សេចក្ដី,0.2025
មក,0.1957
ចិត្ត,0.1921
ផង,0.1890
ច្រើន,0.1856
ទី,0.1822
នេះ,0.1787
ខាង,0.1730
និយាយ,0.1655
ត្រូវ,0.1632
ទឹក,0.1615
ហើយ,0.1536
មនុស្ស,0.1478
និង,0.1432
នៃ,0.1424
ល,0.1392
មើល,0.1387
ឥត,0.1375
កើត,0.1338
ធំ,0.1322
ជាដើម,0.1287
ដើម,0.1278
ពួក,0.1265
មុខ,0.1248
ដំណើរ,0.1247
បើ,0.1233
ប្រភេទ,0.1222
ខ្លួន,0.1186
ឡើង,0.1165
យក,0.1146
ឈើ,0.1142
ចេញ,0.1052
ទាំង,0.1022
តូច,0.0982
សត្វ,0.0963
យ៉ាង,0.0956
គួរ,0.0955
កាល,0.0945
មាត់,0.0944
អ្វី,0.0939
លើ,0.0930
ដាក់,0.0907
នោះ,0.0902
ដល់,0.0892
រាជ,0.0878
ទៀត,0.0878
ខ្មែរ,0.0863
ថ្ងៃ,0.0852
សូរ,0.0838
រក,0.0805
គ្រឿង,0.0803
រូប,0.0797
ពុំ,0.0772
ជាង,0.0767
ឃើញ,0.0762
ខ្លះ,0.0756
កុំ,0.0745
ដៃ,0.0745
ឮ,0.0745
ព្រោះ,0.0740
ជើង,0.0735
ចុះ,0.0734
ភាព,0.0732
អស់,0.0726
ដើរ,0.0715
ធម៌,0.0711
ពុទ្ធ,0.0703
សព្ទ,0.0702
ដែរ,0.0701
លោក,0.0694
កូន,0.0691
ចូល,0.0690
ចំពោះ,0.0675
ទ្រង់,0.0669
ខ្លាំង,0.0666
ល្អ,0.0651
ស្ត្រី,0.0645
ជាតិ,0.0641
នាំ,0.0636
ទេ,0.0635
សាច់,0.0629
ត្រង់,0.0625
ណា,0.0619
ផ្សេង,0.0618
ប្រទេស,0.0612
ទុក,0.0603
សម័យ,0.0598
ខ្ញុំ,0.0598
ផ្លែ,0.0592
ដី,0.0589
ដឹង,0.0588
ស្រុក,0.0576
កាន់,0.0568
មហា,0.0564
សម្ដី,0.0558
ផ្លូវ,0.0550
ជន,0.0548
ផ្សំ,0.0535
វិញ,0.0533
ត្រី,0.0532
ពេញ,0.0532
សរសេរ,0.0529
ស្លឹក,0.0525
ចាប់,0.0521
ផ្ទះ,0.0507
ហេតុ,0.0499
ចេះ,0.0498
ស៊ី,0.0498
ស្រី,0.0498
បែប,0.0491
ព្រៃ,0.0483
ពីរ,0.0481
ផ្,0.0463
សណ្ឋាន,0.0462
ខុស,0.0455
ណាស់,0.0452
ផ្កា,0.0449
តាំង,0.0448
អំពី,0.0448
សំពត់,0.0446
ខ្ពស់,0.0444
ជាប់,0.0442
សព្វ,0.0438
ទ្រព្យ,0.0438
ឯង,0.0430
គំនិត,0.0424
ក្លាយ,0.0418
មូល,0.0415
រាង,0.0415
អង្គ,0.0414
គោ,0.0414
ចុង,0.0413
កម្ម,0.0412
សំឡេង,0.0412
រោគ,0.0410
ដទៃ,0.0409
មេ,0.0409
បុរាណ,0.0408
សុខ,0.0408
លើក,0.0405
នាម,0.0401
វា,0.0399
បទ,0.0398
សម្បុរ,0.0395
យើង,0.0394
ត,0.0389
រៀង,0.0388
ច្បាប់,0.0375
រាប់,0.0372
ចង,0.0369
រឿង,0.0362
ប្រាក់,0.0361
ទទួល,0.0358
ខែ,0.0355
ជិត,0.0354
ដង,0.0352
អក្សរ,0.0350
លេង,0.0348
វេលា,0.0347
អំពើ,0.0345
ដើម្បី,0.0344
ភ្ជាប់,0.0343
ទុក្ខ,0.0343
គ្រប់,0.0342
វែង,0.0342
ឯ,0.0341
ប្រដាប់,0.0339
ភ្នែក,0.0338
អាច,0.0336
គុណ,0.0335
ស្រដៀង,0.0332
មាស,0.0326
សូម,0.0325
ស្មើ,0.0325
ប្រាប់,0.0316
យល់,0.0316
រស,0.0316
កម្លាំង,0.0315
ក្មេង,0.0315
រួច,0.0315
រឿយ,0.0314
បុណ្យ,0.0312
សូត្រ,0.0312
កិច្ច,0.0311
ចម្រើន,0.0310
ស្លាប់,0.0310
កាព្យ,0.0309
រក្សា,0.0309
វត្ថុ,0.0309
ប្រយោជន៍,0.0308
ពេល,0.0308
ប៉ុន្តែ,0.0308
ទើប,0.0307
អំណាច,0.0306
ប្រព្រឹត្ត,0.0305
រៀន,0.0304
រដ្ឋ,0.0303
ត្រឹម,0.0301
អាការ,0.0301
ឆ្នាំ,0.0300
ចាស់,0.0300
បែក,0.0299
លែង,0.0298
ខ្សែ,0.0298
សង្ឃ,0.0296
ទោស,0.0296
រួម,0.0295
ពេក,0.0295
កាយ,0.0293
បុគ្គល,0.0291
កាត់,0.0291
ខ្យល់,0.0288
បាយ,0.0288
ប្រកប,0.0288
មុន,0.0288
សម,0.0288
ចង់,0.0285
ក្បាល,0.0284
កំណត់,0.0284
សំដៅ,0.0282
ថ្នាំ,0.0282
ដាច់,0.0282
យូរ,0.0278
ដ៏,0.0276
ផល,0.0276
ថ្នាក់,0.0275
ពិត,0.0275
បន្តិច,0.0274
សម្រេច,0.0274
ព្រម,0.0273
ភ្លើង,0.0272
ឡើយ,0.0272
ចាំ,0.0272
អាហារ,0.0270
ភាសា,0.0269
